Epoch  59/200: loss=0.233244, full=0.233068, mcep_l1=0.2505, in_range=100.0%, lr=5.00e-04
Epoch  60/200: loss=0.232965, full=0.232782, mcep_l1=0.2502, in_range=100.0%, lr=5.00e-04
Epoch  61/200: loss=0.232714, full=0.232449, mcep_l1=0.2499, in_range=100.0%, lr=5.00e-04
Epoch  62/200: loss=0.232428, full=0.232229, mcep_l1=0.2496, in_range=100.0%, lr=5.00e-04
Epoch  63/200: loss=0.232206, full=0.231905, mcep_l1=0.2493, in_range=100.0%, lr=5.00e-04
Epoch  64/200: loss=0.232020, full=0.231573, mcep_l1=0.2489, in_range=100.0%, lr=5.00e-04
Epoch  65/200: loss=0.231654, full=0.231614, mcep_l1=0.2490, in_range=100.0%, lr=5.00e-04
Epoch  66/200: loss=0.231552, full=0.231176, mcep_l1=0.2485, in_range=100.0%, lr=5.00e-04
Epoch  67/200: loss=0.231261, full=0.231008, mcep_l1=0.2483, in_range=100.0%, lr=5.00e-04
Epoch  68/200: loss=0.230958, full=0.230821, mcep_l1=0.2481, in_range=100.0%, lr=5.00e-04
Epoch  69/200: loss=0.230781, full=0.230487, mcep_l1=0.2478, in_range=100.0%, lr=5.00e-04
Epoch  70/200: loss=0.230579, full=0.230363, mcep_l1=0.2476, in_range=100.0%, lr=5.00e-04
Epoch  71/200: loss=0.230493, full=0.230104, mcep_l1=0.2474, in_range=100.0%, lr=5.00e-04
Epoch  72/200: loss=0.230153, full=0.229769, mcep_l1=0.2470, in_range=100.0%, lr=5.00e-04
Epoch  73/200: loss=0.229854, full=0.229647, mcep_l1=0.2469, in_range=100.0%, lr=5.00e-04
Epoch  74/200: loss=0.229692, full=0.229482, mcep_l1=0.2467, in_range=100.0%, lr=5.00e-04
Epoch  75/200: loss=0.229535, full=0.229527, mcep_l1=0.2467, in_range=100.0%, lr=5.00e-04
Epoch  76/200: loss=0.229425, full=0.229234, mcep_l1=0.2464, in_range=100.0%, lr=5.00e-04
Epoch  77/200: loss=0.229047, full=0.228892, mcep_l1=0.2461, in_range=100.0%, lr=5.00e-04
Epoch  78/200: loss=0.229023, full=0.228856, mcep_l1=0.2460, in_range=100.0%, lr=5.00e-04
Epoch  79/200: loss=0.228750, full=0.228446, mcep_l1=0.2456, in_range=100.0%, lr=5.00e-04
Epoch  80/200: loss=0.228450, full=0.228448, mcep_l1=0.2456, in_range=100.0%, lr=5.00e-04
Epoch  81/200: loss=0.228350, full=0.228127, mcep_l1=0.2452, in_range=100.0%, lr=5.00e-04
Epoch  82/200: loss=0.228138, full=0.227843, mcep_l1=0.2449, in_range=100.0%, lr=5.00e-04
Epoch  83/200: loss=0.227893, full=0.227817, mcep_l1=0.2449, in_range=100.0%, lr=5.00e-04
Epoch  84/200: loss=0.227717, full=0.227471, mcep_l1=0.2445, in_range=100.0%, lr=5.00e-04
Epoch  85/200: loss=0.227583, full=0.227587, mcep_l1=0.2447, in_range=100.0%, lr=5.00e-04
Epoch  86/200: loss=0.227532, full=0.227310, mcep_l1=0.2444, in_range=100.0%, lr=5.00e-04
Epoch  87/200: loss=0.227248, full=0.227007, mcep_l1=0.2440, in_range=100.0%, lr=5.00e-04
Epoch  88/200: loss=0.227113, full=0.226842, mcep_l1=0.2439, in_range=100.0%, lr=5.00e-04
Epoch  89/200: loss=0.226858, full=0.226595, mcep_l1=0.2436, in_range=100.0%, lr=5.00e-04
Epoch  90/200: loss=0.226702, full=0.226479, mcep_l1=0.2435, in_range=100.0%, lr=5.00e-04
Epoch  91/200: loss=0.226594, full=0.226316, mcep_l1=0.2433, in_range=100.0%, lr=5.00e-04
Epoch  92/200: loss=0.226389, full=0.226086, mcep_l1=0.2430, in_range=100.0%, lr=5.00e-04
Epoch  93/200: loss=0.226176, full=0.226027, mcep_l1=0.2430, in_range=100.0%, lr=5.00e-04
Epoch  94/200: loss=0.226034, full=0.225827, mcep_l1=0.2428, in_range=100.0%, lr=5.00e-04
Epoch  95/200: loss=0.225824, full=0.225529, mcep_l1=0.2424, in_range=100.0%, lr=5.00e-04
Epoch  96/200: loss=0.225811, full=0.225434, mcep_l1=0.2423, in_range=100.0%, lr=5.00e-04
Epoch  97/200: loss=0.225703, full=0.225336, mcep_l1=0.2422, in_range=100.0%, lr=5.00e-04
Epoch  98/200: loss=0.225439, full=0.225119, mcep_l1=0.2420, in_range=100.0%, lr=5.00e-04
Epoch  99/200: loss=0.225248, full=0.225045, mcep_l1=0.2419, in_range=100.0%, lr=5.00e-04
Epoch 100/200: loss=0.225032, full=0.225132, mcep_l1=0.2420, in_range=100.0%, lr=5.00e-04
Epoch 101/200: loss=0.225094, full=0.224803, mcep_l1=0.2417, in_range=100.0%, lr=5.00e-04
Epoch 102/200: loss=0.224980, full=0.224552, mcep_l1=0.2414, in_range=100.0%, lr=5.00e-04
Epoch 103/200: loss=0.224623, full=0.224399, mcep_l1=0.2412, in_range=100.0%, lr=5.00e-04
Epoch 104/200: loss=0.224482, full=0.224550, mcep_l1=0.2414, in_range=100.0%, lr=5.00e-04
Epoch 105/200: loss=0.224361, full=0.224110, mcep_l1=0.2409, in_range=100.0%, lr=5.00e-04
Epoch 106/200: loss=0.224214, full=0.224034, mcep_l1=0.2408, in_range=100.0%, lr=5.00e-04
Epoch 107/200: loss=0.224295, full=0.224069, mcep_l1=0.2409, in_range=100.0%, lr=5.00e-04
Epoch 108/200: loss=0.224161, full=0.223960, mcep_l1=0.2408, in_range=100.0%, lr=5.00e-04
Epoch 109/200: loss=0.223768, full=0.223579, mcep_l1=0.2403, in_range=100.0%, lr=5.00e-04
Epoch 110/200: loss=0.223782, full=0.223602, mcep_l1=0.2404, in_range=100.0%, lr=5.00e-04
Epoch 111/200: loss=0.223733, full=0.223339, mcep_l1=0.2401, in_range=100.0%, lr=5.00e-04
Epoch 112/200: loss=0.223487, full=0.223382, mcep_l1=0.2401, in_range=100.0%, lr=5.00e-04
Epoch 113/200: loss=0.223313, full=0.223251, mcep_l1=0.2400, in_range=100.0%, lr=5.00e-04
Epoch 114/200: loss=0.223265, full=0.223160, mcep_l1=0.2399, in_range=100.0%, lr=5.00e-04
Epoch 115/200: loss=0.223209, full=0.223114, mcep_l1=0.2398, in_range=100.0%, lr=5.00e-04
Epoch 116/200: loss=0.223008, full=0.222987, mcep_l1=0.2397, in_range=100.0%, lr=5.00e-04
Epoch 117/200: loss=0.222838, full=0.222622, mcep_l1=0.2393, in_range=100.0%, lr=5.00e-04
Epoch 118/200: loss=0.222699, full=0.222681, mcep_l1=0.2394, in_range=100.0%, lr=5.00e-04
Epoch 119/200: loss=0.222710, full=0.222362, mcep_l1=0.2390, in_range=100.0%, lr=5.00e-04
Epoch 120/200: loss=0.222482, full=0.222397, mcep_l1=0.2391, in_range=100.0%, lr=5.00e-04
Epoch 121/200: loss=0.222451, full=0.222278, mcep_l1=0.2389, in_range=100.0%, lr=5.00e-04
Epoch 122/200: loss=0.222344, full=0.222091, mcep_l1=0.2387, in_range=100.0%, lr=5.00e-04
Epoch 123/200: loss=0.222093, full=0.221837, mcep_l1=0.2385, in_range=100.0%, lr=5.00e-04
Epoch 124/200: loss=0.222155, full=0.221893, mcep_l1=0.2385, in_range=100.0%, lr=5.00e-04
Epoch 125/200: loss=0.221988, full=0.221746, mcep_l1=0.2384, in_range=100.0%, lr=5.00e-04
Epoch 126/200: loss=0.221840, full=0.221731, mcep_l1=0.2384, in_range=100.0%, lr=5.00e-04
Epoch 127/200: loss=0.221780, full=0.221702, mcep_l1=0.2383, in_range=100.0%, lr=5.00e-04
Epoch 128/200: loss=0.221717, full=0.221724, mcep_l1=0.2384, in_range=100.0%, lr=5.00e-04
Epoch 129/200: loss=0.221684, full=0.221363, mcep_l1=0.2380, in_range=100.0%, lr=5.00e-04
Epoch 130/200: loss=0.221532, full=0.221271, mcep_l1=0.2379, in_range=100.0%, lr=5.00e-04
Epoch 131/200: loss=0.221435, full=0.221069, mcep_l1=0.2376, in_range=100.0%, lr=5.00e-04
Epoch 132/200: loss=0.221303, full=0.221243, mcep_l1=0.2378, in_range=100.0%, lr=5.00e-04
Epoch 133/200: loss=0.221291, full=0.221167, mcep_l1=0.2378, in_range=100.0%, lr=5.00e-04
Epoch 134/200: loss=0.221169, full=0.220749, mcep_l1=0.2373, in_range=100.0%, lr=5.00e-04
Epoch 135/200: loss=0.221088, full=0.220805, mcep_l1=0.2374, in_range=100.0%, lr=5.00e-04
Epoch 136/200: loss=0.220996, full=0.220839, mcep_l1=0.2374, in_range=100.0%, lr=5.00e-04
Epoch 137/200: loss=0.220891, full=0.220531, mcep_l1=0.2371, in_range=100.0%, lr=5.00e-04
Epoch 138/200: loss=0.220877, full=0.220651, mcep_l1=0.2372, in_range=100.0%, lr=5.00e-04
Epoch 139/200: loss=0.220587, full=0.220395, mcep_l1=0.2369, in_range=100.0%, lr=5.00e-04
Epoch 140/200: loss=0.220518, full=0.220427, mcep_l1=0.2370, in_range=100.0%, lr=5.00e-04
Epoch 141/200: loss=0.220417, full=0.220367, mcep_l1=0.2369, in_range=100.0%, lr=5.00e-04
Epoch 142/200: loss=0.220402, full=0.220165, mcep_l1=0.2367, in_range=100.0%, lr=5.00e-04
Epoch 143/200: loss=0.220210, full=0.220244, mcep_l1=0.2368, in_range=100.0%, lr=5.00e-04
Epoch 144/200: loss=0.220189, full=0.220036, mcep_l1=0.2365, in_range=100.0%, lr=5.00e-04
Epoch 145/200: loss=0.220122, full=0.219980, mcep_l1=0.2365, in_range=100.0%, lr=5.00e-04
Epoch 146/200: loss=0.220006, full=0.219982, mcep_l1=0.2365, in_range=100.0%, lr=5.00e-04
Epoch 147/200: loss=0.219928, full=0.219852, mcep_l1=0.2363, in_range=100.0%, lr=5.00e-04
Epoch 148/200: loss=0.219836, full=0.219804, mcep_l1=0.2363, in_range=100.0%, lr=5.00e-04
Epoch 149/200: loss=0.219764, full=0.219748, mcep_l1=0.2362, in_range=100.0%, lr=5.00e-04
Epoch 150/200: loss=0.219821, full=0.219635, mcep_l1=0.2361, in_range=100.0%, lr=5.00e-04
Epoch 151/200: loss=0.219675, full=0.219502, mcep_l1=0.2360, in_range=100.0%, lr=5.00e-04
Epoch 152/200: loss=0.219557, full=0.219330, mcep_l1=0.2358, in_range=100.0%, lr=5.00e-04
Epoch 153/200: loss=0.219472, full=0.219403, mcep_l1=0.2359, in_range=100.0%, lr=5.00e-04
Epoch 154/200: loss=0.219478, full=0.219247, mcep_l1=0.2357, in_range=100.0%, lr=5.00e-04
Epoch 155/200: loss=0.219334, full=0.219227, mcep_l1=0.2357, in_range=100.0%, lr=5.00e-04
Epoch 156/200: loss=0.219268, full=0.219240, mcep_l1=0.2357, in_range=100.0%, lr=5.00e-04
Epoch 157/200: loss=0.219178, full=0.219050, mcep_l1=0.2355, in_range=100.0%, lr=5.00e-04
Epoch 158/200: loss=0.219128, full=0.218942, mcep_l1=0.2354, in_range=100.0%, lr=5.00e-04
Epoch 159/200: loss=0.219033, full=0.218917, mcep_l1=0.2353, in_range=100.0%, lr=5.00e-04
Epoch 160/200: loss=0.219007, full=0.218957, mcep_l1=0.2354, in_range=100.0%, lr=5.00e-04
Epoch 161/200: loss=0.218974, full=0.218731, mcep_l1=0.2351, in_range=100.0%, lr=5.00e-04
Epoch 162/200: loss=0.218861, full=0.218717, mcep_l1=0.2351, in_range=100.0%, lr=5.00e-04
Epoch 163/200: loss=0.218824, full=0.218958, mcep_l1=0.2354, in_range=100.0%, lr=5.00e-04
Epoch 164/200: loss=0.218594, full=0.218610, mcep_l1=0.2350, in_range=100.0%, lr=5.00e-04
Epoch 165/200: loss=0.218762, full=0.218381, mcep_l1=0.2348, in_range=100.0%, lr=5.00e-04
Epoch 166/200: loss=0.218576, full=0.218582, mcep_l1=0.2350, in_range=100.0%, lr=5.00e-04
Epoch 167/200: loss=0.218580, full=0.218345, mcep_l1=0.2347, in_range=100.0%, lr=5.00e-04
