Epoch  59/100: loss=0.305771, full=0.305768, mcep_l1=0.3287, in_range=100.0%, lr=1.00e-03
Epoch  60/100: loss=0.305733, full=0.305717, mcep_l1=0.3286, in_range=100.0%, lr=1.00e-03
Epoch  61/100: loss=0.305759, full=0.305751, mcep_l1=0.3287, in_range=100.0%, lr=5.00e-04
Epoch  62/100: loss=0.305695, full=0.305670, mcep_l1=0.3286, in_range=100.0%, lr=5.00e-04
Epoch  63/100: loss=0.305676, full=0.305663, mcep_l1=0.3286, in_range=100.0%, lr=5.00e-04
Epoch  64/100: loss=0.305659, full=0.305676, mcep_l1=0.3286, in_range=100.0%, lr=5.00e-04
Epoch  65/100: loss=0.305653, full=0.305672, mcep_l1=0.3286, in_range=100.0%, lr=5.00e-04
Epoch  66/100: loss=0.305677, full=0.305685, mcep_l1=0.3286, in_range=100.0%, lr=5.00e-04
Epoch  67/100: loss=0.305706, full=0.305658, mcep_l1=0.3286, in_range=100.0%, lr=5.00e-04
Epoch  68/100: loss=0.305643, full=0.305650, mcep_l1=0.3286, in_range=100.0%, lr=5.00e-04
Epoch  69/100: loss=0.305683, full=0.305643, mcep_l1=0.3286, in_range=100.0%, lr=5.00e-04
Epoch  70/100: loss=0.305651, full=0.305631, mcep_l1=0.3286, in_range=100.0%, lr=5.00e-04
Epoch  71/100: loss=0.305640, full=0.305616, mcep_l1=0.3285, in_range=100.0%, lr=5.00e-04
Epoch  72/100: loss=0.305624, full=0.305625, mcep_l1=0.3285, in_range=100.0%, lr=5.00e-04
Epoch  73/100: loss=0.305623, full=0.305636, mcep_l1=0.3286, in_range=100.0%, lr=5.00e-04
Epoch  74/100: loss=0.305636, full=0.305623, mcep_l1=0.3285, in_range=100.0%, lr=5.00e-04
Epoch  75/100: loss=0.305647, full=0.305639, mcep_l1=0.3286, in_range=100.0%, lr=5.00e-04
Epoch  76/100: loss=0.305621, full=0.305625, mcep_l1=0.3285, in_range=100.0%, lr=5.00e-04
Epoch  77/100: loss=0.305646, full=0.305607, mcep_l1=0.3285, in_range=100.0%, lr=5.00e-04
Epoch  78/100: loss=0.305617, full=0.305616, mcep_l1=0.3285, in_range=100.0%, lr=5.00e-04
Epoch  79/100: loss=0.305600, full=0.305608, mcep_l1=0.3285, in_range=100.0%, lr=5.00e-04
Epoch  80/100: loss=0.305631, full=0.305642, mcep_l1=0.3286, in_range=100.0%, lr=5.00e-04
Epoch  81/100: loss=0.305634, full=0.305636, mcep_l1=0.3286, in_range=100.0%, lr=5.00e-04
Epoch  82/100: loss=0.305657, full=0.305637, mcep_l1=0.3286, in_range=100.0%, lr=5.00e-04
Epoch  83/100: loss=0.305619, full=0.305618, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  84/100: loss=0.305636, full=0.305602, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  85/100: loss=0.305612, full=0.305594, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  86/100: loss=0.305598, full=0.305600, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  87/100: loss=0.305598, full=0.305598, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  88/100: loss=0.305574, full=0.305580, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  89/100: loss=0.305581, full=0.305584, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  90/100: loss=0.305626, full=0.305593, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  91/100: loss=0.305598, full=0.305596, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  92/100: loss=0.305590, full=0.305605, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  93/100: loss=0.305595, full=0.305600, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  94/100: loss=0.305630, full=0.305595, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  95/100: loss=0.305583, full=0.305592, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  96/100: loss=0.305617, full=0.305596, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  97/100: loss=0.305610, full=0.305595, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  98/100: loss=0.305630, full=0.305600, mcep_l1=0.3285, in_range=100.0%, lr=2.50e-04
Epoch  99/100: loss=0.305621, full=0.305596, mcep_l1=0.3285, in_range=100.0%, lr=1.25e-04
Epoch 100/100: loss=0.305583, full=0.305572, mcep_l1=0.3285, in_range=100.0%, lr=1.25e-04
